원점수,표준점수,백분위,등급
100,144,100,1
99,,,
98,142,100,1
97,141,100,1
96,140,100,1
95,139,100,1
94,138,99,1
93,137,99,1
92,136,99,1
91,134,98,1
90,133,97,1
89,132,97,1
88,131,96,1
87,130,95,2
86,129,94,2
85,128,93,2
84,127,92,2
83,126,91,2
82,125,89,2
81,124,88,3
80,123,86,3
79,122,85,3
78,120,83,3
77,119,82,3
76,118,80,3
75,117,78,3
74,116,76,3
73,115,74,4
72,114,72,4
71,113,70,4
70,112,68,4
69,111,67,4
68,110,65,4
67,109,63,4
66,108,61,4
65,106,59,5
64,105,57,5
63,104,55,5
62,103,53,5
61,102,51,5
60,101,49,5
59,100,47,5
58,99,45,5
57,98,43,5
56,97,41,5
55,96,40,5
54,95,38,6
53,94,36,6
52,92,34,6
51,91,33,6
50,90,31,6
49,89,30,6
48,88,28,6
47,87,27,6
46,86,25,6
45,85,24,6
44,84,22,6
43,83,21,7
42,82,20,7
41,81,19,7
40,80,17,7
39,78,16,7
38,77,15,7
37,76,14,7
36,75,13,7
35,74,12,7
34,73,11,7
33,72,10,8
32,71,9,8
31,70,9,8
30,69,8,8
29,68,7,8
28,67,7,8
27,66,6,8
26,64,5,8
25,63,4,8
24,62,4,8
23,61,3,9
22,60,3,9
21,59,2,9
20,58,2,9
19,57,2,9
18,56,1,9
17,55,1,9
16,54,1,9
15,53,1,9
14,52,0,9
13,50,0,9
12,49,0,9
11,48,0,9
10,47,0,9
9,46,0,9
8,45,0,9
7,44,0,9
6,43,0,9
5,42,0,9
4,41,0,9
3,40,0,9
2,39,0,9
1,,,
0,36,0,9
