원점수,표준점수,백분위,등급
100,150,100,1
99,,,
98,148,100,1
97,146,100,1
96,145,100,1
95,144,100,1
94,143,100,1
93,142,100,1
92,141,99,1
91,140,99,1
90,139,99,1
89,138,98,1
88,136,98,1
87,135,98,1
86,134,97,1
85,133,96,1
84,132,96,1
83,131,95,2
82,130,94,2
81,129,93,2
80,128,92,2
79,126,91,2
78,125,90,2
77,124,88,3
76,123,87,3
75,122,85,3
74,121,84,3
73,120,82,3
72,119,81,3
71,118,79,3
70,117,77,3
69,115,75,4
68,114,73,4
67,113,71,4
66,112,70,4
65,111,68,4
64,110,66,4
63,109,64,4
62,108,62,4
61,107,60,4
60,105,58,5
59,104,56,5
58,103,54,5
57,102,52,5
56,101,50,5
55,100,48,5
54,99,46,5
53,98,44,5
52,97,42,5
51,95,41,5
50,94,39,6
49,93,37,6
48,92,35,6
47,91,33,6
46,90,32,6
45,89,30,6
44,88,28,6
43,87,27,6
42,86,25,6
41,84,24,6
40,83,22,7
39,82,21,7
38,81,19,7
37,80,18,7
36,79,17,7
35,78,16,7
34,77,14,7
33,76,13,7
32,74,12,7
31,73,11,7
30,72,10,8
29,71,9,8
28,70,8,8
27,69,7,8
26,68,7,8
25,67,6,8
24,66,5,8
23,64,4,8
22,63,4,8
21,62,3,9
20,61,2,9
19,60,2,9
18,59,1,9
17,58,1,9
16,57,1,9
15,56,1,9
14,55,1,9
13,53,0,9
12,52,0,9
11,51,0,9
10,50,0,9
9,49,0,9
8,48,0,9
7,47,0,9
6,46,0,9
5,45,0,9
4,43,0,9
3,42,0,9
2,41,0,9
1,,,
0,39,0,9
