원점수,표준점수,백분위,등급
100,140,100,1
99,,,
98,138,100,1
97,137,99,1
96,136,99,1
95,135,99,1
94,134,98,1
93,133,97,1
92,132,97,1
91,131,96,1
90,130,95,2
89,129,94,2
88,128,92,2
87,127,91,2
86,126,90,2
85,125,89,2
84,124,87,3
83,123,86,3
82,122,84,3
81,121,83,3
80,120,81,3
79,119,80,3
78,118,78,3
77,117,76,3
76,116,75,4
75,115,73,4
74,114,71,4
73,113,70,4
72,112,68,4
71,111,67,4
70,110,65,4
69,109,63,4
68,108,61,4
67,107,60,4
66,106,58,5
65,105,56,5
64,104,55,5
63,103,53,5
62,102,51,5
61,101,50,5
60,100,48,5
59,99,46,5
58,98,45,5
57,97,43,5
56,96,42,5
55,95,40,5
54,94,38,6
53,93,37,6
52,92,35,6
51,91,34,6
50,90,32,6
49,89,31,6
48,88,29,6
47,87,28,6
46,86,27,6
45,85,25,6
44,84,24,6
43,83,23,6
42,82,21,7
41,81,20,7
40,80,19,7
39,79,18,7
38,78,17,7
37,77,16,7
36,76,14,7
35,75,13,7
34,74,12,7
33,73,12,7
32,72,11,7
31,71,10,8
30,70,9,8
29,69,8,8
28,68,7,8
27,67,7,8
26,66,6,8
25,65,5,8
24,64,4,8
23,64,4,8
22,63,3,9
21,62,3,9
20,61,2,9
19,60,2,9
18,59,1,9
17,58,1,9
16,57,1,9
15,56,1,9
14,55,1,9
13,54,0,9
12,53,0,9
11,52,0,9
10,51,0,9
9,50,0,9
8,49,0,9
7,48,0,9
6,47,0,9
5,46,0,9
4,45,0,9
3,44,0,9
2,43,0,9
1,,,
0,41,0,9
