원점수,표준점수,백분위,등급
100,139,100,1
99,,,
98,136,100,1
97,135,99,1
96,134,99,1
95,133,98,1
94,132,98,1
93,131,97,1
92,130,96,1
91,129,96,2
90,128,95,2
89,127,93,2
88,126,92,2
87,125,91,2
86,124,90,2
85,123,88,3
84,122,87,3
83,121,85,3
82,120,83,3
81,119,81,3
80,118,80,3
79,117,78,3
78,116,76,4
77,114,74,4
76,113,72,4
75,112,70,4
74,111,67,4
73,110,65,4
72,109,63,4
71,108,61,4
70,107,59,5
69,106,57,5
68,105,54,5
67,104,52,5
66,103,50,5
65,102,48,5
64,101,46,5
63,100,44,5
62,99,42,5
61,98,41,5
60,97,39,6
59,96,37,6
58,95,35,6
57,94,34,6
56,92,32,6
55,91,31,6
54,90,29,6
53,89,28,6
52,88,26,6
51,87,25,6
50,86,24,6
49,85,23,6
48,84,22,7
47,83,20,7
46,82,19,7
45,81,18,7
44,80,17,7
43,79,16,7
42,78,15,7
41,77,15,7
40,76,14,7
39,75,13,7
38,74,12,7
37,73,11,7
36,72,11,8
35,70,10,8
34,69,9,8
33,68,9,8
32,67,8,8
31,66,7,8
30,65,7,8
29,64,6,8
28,63,6,8
27,62,5,8
26,61,5,8
25,60,4,8
24,59,4,9
23,58,3,9
22,57,3,9
21,56,2,9
20,55,2,9
19,54,2,9
18,53,1,9
17,52,1,9
16,51,1,9
15,50,1,9
14,48,1,9
13,47,0,9
12,46,0,9
11,45,0,9
10,44,0,9
9,43,0,9
8,42,0,9
7,41,0,9
6,40,0,9
5,39,0,9
4,38,0,9
3,37,0,9
2,36,0,9
1,,,
0,34,0,9
