표준점수,등급,백분위
150,1,100
148,1,100
147,1,100
146,1,100
145,1,100
144,1,100
143,1,100
142,1,100
141,1,99
140,1,99
139,1,99
138,1,99
137,1,98
136,1,98
135,1,97
134,1,97
133,1,96
132,2,96
131,2,95
130,2,94
129,2,93
128,2,92
127,2,91
126,2,90
125,2,89
124,3,88
123,3,87
122,3,85
121,3,84
120,3,83
119,3,81
118,3,80
117,3,78
116,3,77
115,4,75
114,4,73
113,4,72
112,4,70
111,4,68
110,4,66
109,4,64
108,4,63
107,4,61
106,4,59
105,5,57
104,5,55
103,5,54
102,5,52
101,5,50
100,5,48
99,5,46
98,5,45
97,5,43
96,5,41
95,5,39
94,6,38
93,6,36
92,6,34
91,6,33
90,6,31
89,6,30
88,6,28
87,6,27
86,6,25
85,6,24
84,6,23
83,7,21
82,7,20
81,7,19
80,7,18
79,7,16
78,7,15
77,7,14
76,7,13
75,7,12
74,7,12
73,7,11
72,8,10
71,8,9
70,8,8
69,8,8
68,8,7
67,8,6
66,8,6
65,8,5
64,8,5
63,8,4
62,9,3
61,9,3
60,9,2
59,9,2
58,9,2
57,9,1
56,9,1
55,9,1
54,9,0
53,9,0
52,9,0
51,9,0
50,9,0
49,9,0
48,9,0
47,9,0
46,9,0
45,9,0
44,9,0
43,9,0
42,9,0
41,9,0
40,9,0
39,9,0
