원점수,표준점수,백분위,등급
100,134,100,1
99,,,
98,132,99,1
97,131,98,1
96,130,98,1
95,129,97,1
94,128,96,1
93,127,94,2
92,126,93,2
91,125,92,2
90,124,90,2
89,123,89,2
88,122,87,3
87,121,86,3
86,120,83,3
85,120,83,3
84,119,80,3
83,118,78,3
82,117,76,3
81,116,74,4
80,115,72,4
79,114,70,4
78,113,69,4
77,112,67,4
76,111,65,4
75,110,63,4
74,109,61,4
73,108,59,5
72,107,57,5
71,106,55,5
70,105,54,5
69,104,52,5
68,103,50,5
67,102,48,5
66,101,47,5
65,100,45,5
64,99,43,5
63,99,43,5
62,98,41,5
61,97,39,6
60,96,38,6
59,95,36,6
58,94,35,6
57,93,34,6
56,92,32,6
55,91,31,6
54,90,30,6
53,89,29,6
52,88,28,6
51,87,26,6
50,86,25,6
49,85,24,6
48,84,23,6
47,83,22,7
46,82,21,7
45,81,20,7
44,80,19,7
43,79,18,7
42,79,18,7
41,78,16,7
40,77,16,7
39,76,15,7
38,75,14,7
37,74,13,7
36,73,12,7
35,72,11,7
34,71,11,7
33,70,10,8
32,69,9,8
31,68,9,8
30,67,8,8
29,66,7,8
28,65,6,8
27,64,6,8
26,63,5,8
25,62,5,8
24,61,4,8
23,60,4,9
22,59,3,9
21,58,2,9
20,58,2,9
19,57,2,9
18,56,1,9
17,55,1,9
16,54,1,9
15,53,1,9
14,52,1,9
13,51,0,9
12,50,0,9
11,49,0,9
10,48,0,9
9,47,0,9
8,46,0,9
7,45,0,9
6,44,0,9
5,43,0,9
4,42,0,9
3,41,0,9
2,40,0,9
1,,,
0,38,0,9
